Time,Cometa_Voltage_1,Cometa_Voltage_2,Cometa_Voltage_3,Cometa_Voltage_4,Cometa_Voltage_5,Cometa_Voltage_6,Cometa_Voltage_7,Cometa_Voltage_8,Cometa_Voltage_9,Cometa_Voltage_10,Cometa_Voltage_11,Cometa_Voltage_12,Cometa_Voltage_13,Cometa_Voltage_14,Cometa_Voltage_15,Cometa_Voltage_16,FP1_Force_Fx,FP1_Force_Fy,FP1_Force_Fz,FP1_Moment_Mx,FP1_Moment_My,FP1_Moment_Mz,FP1_CoP_Cx,FP1_CoP_Cy,FP1_CoP_Cz,FP1_Raw_Pin1,FP1_Raw_Pin2,FP1_Raw_Pin3,FP1_Raw_Pin4,FP1_Raw_Pin5,FP1_Raw_Pin6,FP2_Force_Fx,FP2_Force_Fy,FP2_Force_Fz,FP2_Moment_Mx,FP2_Moment_My,FP2_Moment_Mz,FP2_CoP_Cx,FP2_CoP_Cy,FP2_CoP_Cz,FP3_Force_Fx,FP3_Force_Fy,FP3_Force_Fz,FP3_Moment_Mx,FP3_Moment_My,FP3_Moment_Mz,FP3_CoP_Cx,FP3_CoP_Cy,FP3_CoP_Cz,TS00605_accel_x,TS00605_accel_y,TS00605_accel_z,TS00605_gyro_x,TS00605_gyro_y,TS00605_gyro_z,TS00605_mag_x,TS00605_mag_y,TS00605_mag_z,TS00605_GlobalAngle_x,TS00605_GlobalAngle_y,TS00605_GlobalAngle_z,TS00605_HighG_x,TS00605_HighG_y,TS00605_HighG_z,TS01962_accel_x,TS01962_accel_y,TS01962_accel_z,TS01962_gyro_x,TS01962_gyro_y,TS01962_gyro_z,TS01962_mag_x,TS01962_mag_y,TS01962_mag_z,TS01962_GlobalAngle_x,TS01962_GlobalAngle_y,TS01962_GlobalAngle_z,TS01962_HighG_x,TS01962_HighG_y,TS01962_HighG_z
8.355,0.0885236,0.0428748,0.0646527,0.0115036,0.0569278,0.0639847,0.0408713,0.0602499,0.0583322,0.0323782,0.0624225,0.0536288,0.0569464,0.0453439,-3.12604,0.0801282,-52.266,-121.555,-770.74,41913.4,-17492.4,5799.85,-22.6956,-54.3807,0,0.357971,-0.636139,2.14966,-0.247498,-0.155182,-0.0485229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617.8,15174.9,1076.42,45.803,33.3833,-167.201,-4.77693e-05,-5.80957e-05,-3.29182e-05,-74.9587,119.326,135.925,4690.83,22619.4,8478.79,-2081.58,-11177.6,-1256.5,-23.5718,-131.219,201.792,4.59767e-05,7.7952e-06,2.89028e-05,26.3758,-97.9717,133.027,-6628.4,-7623.66,13034.4
8.356,0.193504,0.0318884,0.100358,0.00326385,0.0514346,0.067952,0.0378195,0.0321738,0.0430734,0.0503836,0.0572345,0.0499667,0.0517584,0.0487009,-3.06226,0.0663953,-45.5306,-120.949,-775.617,43820.3,-16148.4,7312,-20.8201,-56.4973,0,0.319519,-0.632477,2.16324,-0.257111,-0.141144,-0.070343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2709.72,15295.7,1063.37,45.9127,34.2393,-168.142,-4.79541e-05,-5.8094e-05,-3.2938e-05,-75.0684,119.181,135.779,5051.78,22927.1,8498.83,1555.98,-12015.8,-86.2659,-21.0028,-138.447,202.585,4.57192e-05,7.87458e-06,2.89711e-05,26.4052,-98.1745,133.17,-2996.46,-8073.55,14188.2
8.357,0.208152,0.046842,0.0945599,-0.00497589,0.0544864,0.0639847,0.0411765,0.0346152,0.0540598,0.0461111,0.0514362,0.0307407,0.0557257,0.0569406,-2.99298,0.046864,-38.9133,-135.227,-775.886,41354.1,-15059,5428.19,-19.4088,-53.2992,0,0.280914,-0.713806,2.1637,-0.250549,-0.129395,-0.0431824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791.72,15431.3,1014.99,46.1077,34.9198,-169.123,-4.8136e-05,-5.81054e-05,-3.29608e-05,-75.1831,119.034,135.631,5343.55,22920,8869.75,5590.73,-13329.4,838.876,-18.1285,-142.535,198.104,4.54576e-05,7.95422e-06,2.90393e-05,26.4566,-98.3675,133.315,1347.11,-9017.59,15284.6
8.358,0.126671,0.0297522,0.0820477,-0.0177933,0.0453311,0.0487259,0.0570456,0.0462119,0.0796945,0.0329886,0.0557086,0.0279941,0.0563361,0.0401559,-2.94843,0.0541882,-36.611,-152.407,-778.673,37325.5,-14784.8,3034.24,-18.9872,-47.9348,0,0.267181,-0.811462,2.17117,-0.237122,-0.126343,-0.00869751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873.73,15566.9,966.604,46.3027,35.6002,-170.104,-4.83179e-05,-5.81167e-05,-3.29835e-05,-75.2974,118.887,135.483,5635.31,22912.8,9240.67,9625.48,-14643,1764.02,-15.2543,-146.623,193.623,4.51959e-05,8.03386e-06,2.91076e-05,26.5082,-98.5607,133.459,5690.69,-9961.64,16380.9
8.359,0.0885236,0.0425696,0.0878461,0.00204315,0.0413638,0.0688675,0.0610129,0.0486533,0.0323923,0.0287161,0.0480792,0.0380649,0.0523688,0.0517526,-2.85138,0.05724,-37.5938,-156.805,-791.5,34532,-15058.9,3696.66,-19.0258,-43.6286,0,0.273438,-0.835571,2.20703,-0.224304,-0.129089,-0.0184631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2955.73,15702.5,918.219,46.4977,36.2806,-171.084,-4.84998e-05,-5.81281e-05,-3.30062e-05,-75.4113,118.74,135.334,5927.08,22905.7,9611.59,13660.2,-15956.6,2689.16,-12.38,-150.712,189.142,4.49342e-05,8.11349e-06,2.91759e-05,26.5597,-98.7539,133.602,10034.3,-10905.7,17477.3
8.36,0.0744855,0.0389075,0.0600751,-9.30786e-05,0.0334293,0.0496414,0.0509421,0.0443808,0.0436838,0.0451956,0.0535724,0.0368442,0.0532843,0.0483957,-2.5752,0.0560193,-42.7423,-154.754,-800.961,30936.4,-14614.7,6010.21,-18.2464,-38.624,0,0.30365,-0.823059,2.23389,-0.204468,-0.128784,-0.0524902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3037.73,15838,869.835,46.6927,36.961,-172.065,-4.86817e-05,-5.81395e-05,-3.3029e-05,-75.5248,118.593,135.186,6218.85,22898.6,9982.51,17695,-17270.2,3614.3,-9.50575,-154.8,184.661,4.46726e-05,8.19313e-06,2.92441e-05,26.6113,-98.9473,133.746,14377.8,-11849.7,18573.6
8.361,0.04763,0.01724,0.0652631,-0.00802765,0.0627261,0.0609329,0.0582663,0.0663535,0.0619943,0.0485526,0.0599811,0.0466098,0.0288702,0.0578561,2.78521,0.0609021,-49.5015,-151.296,-803.75,25944.9,-13911.6,6441.05,-17.3083,-32.2798,0,0.342712,-0.802765,2.24213,-0.176697,-0.127563,-0.0593567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3067.47,16043.3,822.6,46.6021,37.7252,-172.921,-4.88636e-05,-5.81509e-05,-3.30517e-05,-75.6456,118.443,135.036,5925.21,23020.5,9556.47,19687.3,-17715.8,3505.49,-6.18155,-151.366,175.317,4.44109e-05,8.27277e-06,2.93124e-05,26.6781,-99.0921,133.874,16371,-12996.6,19008.7
8.362,0.0897443,0.029447,0.0448163,0.0133347,0.0618106,0.0694778,0.0295798,0.0547568,0.0650461,0.0607596,0.0697467,0.0508823,0.0279547,0.0609079,3.32873,0.067616,-52.0651,-148.793,-808.789,23021.1,-12666.8,5430.31,-15.6614,-28.4637,0,0.357666,-0.787811,2.25632,-0.160065,-0.119934,-0.0450134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3097.21,16248.6,775.366,46.5115,38.4894,-173.778,-4.90455e-05,-5.81622e-05,-3.30744e-05,-75.766,118.293,134.885,5631.58,23142.4,9130.43,21679.6,-18161.4,3396.68,-2.85736,-147.933,165.974,4.41492e-05,8.35241e-06,2.93806e-05,26.7449,-99.2369,134.001,18364.2,-14143.5,19443.8
8.363,0.135215,0.0321936,0.0426801,-0.0232864,0.0685245,0.067952,0.0631491,0.0584189,0.0320871,0.0546561,0.078902,0.0496616,0.075257,0.0444284,3.34246,0.0557141,-47.8222,-153.887,-818.754,20850,-11095.3,5385.19,-13.5514,-25.4655,0,0.333557,-0.81604,2.28409,-0.150757,-0.105896,-0.0445557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126.94,16453.9,728.131,46.4209,39.2536,-174.634,-4.92274e-05,-5.81736e-05,-3.30972e-05,-75.886,118.142,134.735,5337.94,23264.2,8704.38,23671.9,-18607,3287.87,0.466842,-144.499,156.631,4.38876e-05,8.43205e-06,2.94489e-05,26.8119,-99.3819,134.128,20357.4,-15290.3,19878.9
8.364,0.126671,0.0154089,0.0204022,-0.053804,0.0428897,0.0816849,0.0649802,0.0419394,0.0571115,0.0445853,0.0526569,0.0429477,0.0535895,0.0520578,3.33758,0.069447,-42.0697,-168.242,-829.844,16440.7,-9740.31,6365.96,-11.7375,-19.8118,0,0.300598,-0.897064,2.31506,-0.133972,-0.0926208,-0.0592041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3156.68,16659.2,680.897,46.3303,40.0178,-175.49,-4.94093e-05,-5.8185e-05,-3.31199e-05,-76.0056,117.992,134.584,5044.3,23386.1,8278.34,25664.3,-19052.6,3179.06,3.79104,-141.065,147.287,4.36259e-05,8.51169e-06,2.95172e-05,26.8789,-99.5268,134.255,22350.5,-16437.2,20314
